stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_url,location_type,parent_station
80160,MÜRSEL PAŞA CADDESİ 2,40.767532,29.903308,0,,0,
70423,KONCA RAMPASI,40.708214,29.719542,0,,0,
98116,PETKİM ALT KAPI 2,40.770761,29.745042,0,,0,
81008,MANDIRA YOLU,40.8462976,30.0395956,0,,0,
11062,İSHAKÇILAR DEPOLAMA ALANI,40.904809,29.851693,0,,0,
41112,SEKA KAMP DERE 1,40.717266,30.138933,0,,0,
11237,DEMOKRASİ CADDESİ 5,40.7414614,30.0195731,0,,0,
30053,İNCİRLİK SOKAK,40.7790764,29.4120104,0,,0,
98115,PETKİM ALT KAPI 1,40.77091,29.74523,0,,0,
80206,TÜYSÜZLER 4,40.782187,29.924409,0,,0,
40360,BOĞAZOVA CADDESİ 1,40.7892091,29.9604231,0,,0,
40362,KARAKÖPRÜ PAZARYERİ 2,40.7035103,29.8539088,0,,0,
96520,SARIMEŞE ESKİ GARAJ 1,40.735131,30.043148,0,,0,
96049,ARSLANBEY KAMPÜS 1,40.7053979,30.0259773,0,,0,
90023,KANDIRA OTOBÜS  TERMİNALİ,41.0681955,30.1477477,0,,0,
90111,SARNIÇLAR 2,41.026204,30.092621,0,,0,
40201,PAŞA CADDESİ 1,40.7671618,29.9651121,0,,0,
96639,ŞİRİNSULHİYE MİROĞLU CADDESİ 2,40.705634,30.102905,0,,0,
40353,ŞEHİT SÜLEYMAN URAL,40.767225,29.848237,0,,0,
98172,HEREKE TERMİNALİ 1,40.7839806,29.6152603,0,,0,
90761,MESKEN SOKAK 3,40.8099167,29.6514188,0,,0,
98324,KALBURCU ADIÖREN MEVKİİ 1,40.819712,29.733182,0,,0,
98407,KALBURCU ADIÖREN MEVKİİ,40.819667,29.732983,0,,0,
11410,EREĞLİ GİRİŞ,40.7020903,29.6746762,0,,0,
90404,AKÇAKOCA İLKOKULU 1,41.0685,30.153362,0,,0,
90582,DİNÇ SOKAK,41.1343943,30.0233152,0,,0,
40301,EROL KÖSE SOKAK 1,40.772648,29.812471,0,,0,
11141,BELEN KÖYÜ ÇIKIŞ 1,40.835066,29.763403,0,,0,
80130,ÇARDAK SOKAK,40.759375,29.858775,0,,0,
10387,PANAYIR MEZARLIK,40.6702605,29.8829548,0,,0,
80631,ÇAYIRKÖY 3,40.801224,29.995558,0,,0,
90060,KANDIRA İTFAİYE AMİRLİĞİ,41.0704864,30.1534607,0,,0,
40190,DERNEK SOKAK 1,40.7643582,29.8290012,0,,0,
41320,TEMİZ SOKAK,40.7875524,29.572081,0,,0,
11185,KARANFİL SOKAK 1,40.7811749,29.9861043,0,,0,
