kiosk_no,owner,distirict,term_no,lat,lon,title,term_type,address
0040000722,ADEM ARSLAN,null,00791,40.78244,29.396868,KAFKAS GIDA PAZARI,0,ORHAN GAZİ MAH. AŞİROĞLU CAD. KAHRAMAN SOK. NO:17 DARICA/KOCAELİ
0040000738,ERDAL GÜMÜŞ,null,00807,40.757227,29.827097,KÖRFEZ KURUYEMİŞ,0,SIRRIPAŞA MAH. DENİZCİLER CAD. NO:134/E DERİNCE/KOCAELİ
0040000780,DURALİ DEMİRHAN,null,00851,40.814899,29.387287,ELİF MARKET,0,MİMAR SİNAN MAH. M.SİNAN CAD. NO:108/AB GEBZE/KOCAELİ
0040000808,AHMET TOK,null,00880,40.729725,30.041119,TOK GIDA,0,SARIMEŞE HÜRRİYET MAH. ATATÜRK CAD. NO:130 İZMİT/KOCAELİ
0040000826,ALİ DERECİ,null,00901,40.780181,29.944387,ESRA MİNİ MARKET,0,28 HAZİRAN MAH. SEMT ESKİ İSTANBUL CAD. 109/1 İZMİT/KOCAELİ
0040000612,AYŞE ŞAHİN,null,00675,40.808214,29.431425,ŞAHİN BÜFE,0,GÜZELLER MAH.İBRAHİM AĞA CAD. NO:96/B GEBZE /İSTANBUL
0040000616,YASİN ESMEZ,null,00679,40.767257,29.954091,ESMEZ BÜFE,0,M.ALİ PAŞA MAH. G.MUSTAFA KEMAL BUL. NO:53 İZMİT/KOCAELİ
0040000626,SERHAN AKARSU,null,00689,40.766186,29.809118,KEREM MARKET,0,İBNİ SİNA MAH.FATİH CAD.NO:80/A DERİNCE/KOCAELİ
0040000632,ANATESCİL BİLİŞİM,null,00696,40.821632,29.371579,null,0,YENİ MAHALLE FATİH CAD. NO:73/B ÇAYIROVA/KOCAELİ
0040000633,MUHLİS BİTİMLİ,null,00697,40.732913,30.015583,SERHAT MARKET,0,Hacı Mustafa- Nazım Demirci Cd. No:52- 41250 Kartepe/Kocaeli
0040000643,AYŞEGÜL KAYSERİLİ,null,00710,40.763188,30.051595,YILMAZ MARKET,0,UZUNBEY MAH. TAN SOK. NO:67/A KARTEPE/KOCAELİ
0040000649,DOĞANLI GIDA İNŞ. TURİZM SAN. TİC. LTD. ŞTİ.,null,00716,40.79766,29.435698,DOĞANLI GIDA,0,SULTAN ORHAN MAH. HÜKÜMET CAD.NO:121 GEBZE/KOCAELİ
0040000651,ZÜLFÜ LAÇİN,null,00718,40.773576,29.811022,MUNZUR BÜFE,0,YENİKENT MAH.VENÜS İŞ MERKEZİ NO:1/65 DERİNCE/KOCAELİ
0040000654,DOĞANLI GIDA İNŞ. TURİZM SAN. TİC. LTD. ŞTİ.,null,00721,40.812049,29.445416,DOĞANLI GIDA,0,SULTAN ORHAN MAH. HÜKÜMET CAD. NO:121 GEBZE/KOCAELİ
0040000656,SELDA AKARYAKIT TAŞ. GIDA İNŞ. SAN. TİC. LTD. ŞTİ,null,00723,40.774153,29.401706,SELDA AKARYAKIT,0,F.ÇAKMAK MAH. İSTASYON CAD. NO:408 GEBZE/KOCAELİ
0040000658,DAVUT CİVELEK,null,00725,40.723187,29.992294,FD GROSS MARKET,0,MEHMET AĞA MAH. KARAMÜRSEL CAD. NO:112 BAŞİSKELE/KOCAELİ
0040000674,YUSUF PAY,null,00741,40.712973,30.014103,KİPAY MARKET,0,ARSLANBEY RAHMİYE İZMİT CAD. NO:207/B  KARTEPE/KOCAELİ
0040000676,BÜNYAMİN TEMEL,null,00743,40.801061,29.645224,TEMEL İLETİŞİM ,0,YUKARI HEREKE AHMET YASEVİ NO:53  KÖRFEZ/KOCAELİ
0040000679,GÖGERCİN GIDA İNŞ. TURİZM TAAH. TİC. LTD. ŞTİ.,null,00746,40.770923,29.909229,GÖGERCİN GIDA İNŞ. TURİZM TAAH. TİC. LTD. ŞTİ.,0,GÜLTEPE MAH. KOÇAL SOK. NO:36/A  İZMİT/KOCAELİ
0040000685,HURİYE YOLCU,null,00753,40.775528,29.984556,DOĞUKAN BÜFE,0,YUVAM AKARCA CUMHURİYET MAH. KOŞAR SOK. NO:1 İZMİT/KOCAELİ
0040000686,MUSTAFA KAPLAN,null,00754,40.765463,29.879075,BEYALİ GIDA,0,KURUÇEŞME  ATATÜRK CAD. NO:4 İZMİT/KOCAELİ
0040000687,HÜSEYİN ŞAHİN,null,00755,40.773507,29.759757,AİLE BAKKALİYESİ,0,H.OSMAN MAH. BAĞDAT CAD. ESENTEPE KOOP. BİNASI ALTI NO:255 KÖRFEZ/KOCAELİ
0040000693,AZMİ KUŞKU,null,00761,40.762757,29.922607,DURAK ŞARKÜTERİ,0,KEMALPAŞA MAH. HÜRRÜYET CAD. GAKKO İŞHANI 1/D İZMİT/KOCAELİ 
0040000696,RAMAZAN BAYRAK,null,00764,40.710952,29.841945,BAYRAK MARKET,0,İHSANİYE ÇİFTLİK MAH. ATATÜRK BULVARI NO:302 GÖLCÜK/KOCAELİ
0040000701,ERDEM ÇOLAK,null,01969,40.792268,29.973262,ÇOLAKOĞLU MARKET,0,TEPEKÖY MAH. MURADİYE CAD. NO:45  İZMİT/KOCAELİ
0040000701,ERDEM ÇOLAK,null,00769,40.794369,29.972113,ÇOLAKOĞLU MARKET,0,TEPEKÖY MAH. MURADİYE CAD. NO:45  İZMİT/KOCAELİ
0040000450,MEHMET AYLUÇTARHAN,null,00508,40.781709,29.374611,null,0,OSMANGAZİ MAH. AŞIROĞLU CAD. NO:20 DARICA/KOCAELİ
0040000456,KEZİBAN ŞAHİN ,null,00516,40.773044,29.99434,YAVUZ GIDA,0,ALİKAHYA FATİH MAH. BAĞDAT CAD. NO:97/1 İZMİT
0040000463,SERKAN METE,null,00523,40.79112,29.943411,METE BÜFE,0,MALTA MAH. AŞIK VEYSEL CAD. 8.ADA YAN NO:14/1 İZMİT/KOCAELİ
